recommendation_id,client_id,detected_at,recommendation_type,title,target_platform,target_campaign_id,evidence_summary,supporting_benchmark_id,expected_weekly_savings,expected_roas_lift_pct,confidence_score,risk_level,decision_required,status
REC_0000000001,CL_0001,2026-04-27 09:30:56,Campaign Pause,Campaign Pause: Pause Low ROAS Adset,Google,GC_00000006,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000207,309.37,0.0712,0.6384,High,human_approval,approved
REC_0000000002,CL_0001,2026-03-18 12:49:16,Benchmark Alert,Benchmark Alert: Increase Budget,Google,GC_00000012,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000196,1725.60,0.0574,0.7221,Medium,auto_execute_allowed,executed
REC_0000000003,CL_0001,2026-04-03 14:45:48,Tracking Fix,Tracking Fix: Exclude Recent Buyers,Meta,MC_00000001,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000105,934.56,0.1508,0.5356,Medium,human_approval,dismissed
REC_0000000004,CL_0001,2026-03-21 12:36:47,Tracking Fix,Tracking Fix: Exclude Recent Buyers,Meta,MC_00000003,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000014,1791.80,0.0811,0.8702,High,human_approval,needs_more_evidence
REC_0000000005,CL_0001,2026-05-03 15:30:03,Campaign Pause,Campaign Pause: Suppress Email Converters,Meta,MC_00000004,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000207,1978.62,0.1198,0.9072,Medium,auto_execute_allowed,needs_more_evidence
REC_0000000006,CL_0001,2026-05-30 14:59:21,Audience Refresh,Audience Refresh: Reduce Budget,Meta,MC_00000004,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000172,1745.69,0.0490,0.5989,Medium,human_approval,needs_more_evidence
REC_0000000007,CL_0001,2026-04-09 01:26:46,Audience Refresh,Audience Refresh: Exclude Recent Buyers,Meta,MC_00000002,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000136,396.33,0.1072,0.6719,Low,human_approval,new
REC_0000000008,CL_0001,2026-04-09 19:48:37,Tracking Fix,Tracking Fix: Pause Low ROAS Adset,Meta,MC_00000003,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000072,67.45,0.1447,0.8353,Medium,auto_execute_allowed,needs_more_evidence
REC_0000000009,CL_0001,2026-04-17 13:24:49,Tracking Fix,Tracking Fix: Increase Budget,Google,GC_00000009,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000137,308.84,0.1389,0.7478,High,human_approval,needs_more_evidence
REC_0000000010,CL_0001,2026-06-03 06:58:10,Benchmark Alert,Benchmark Alert: Increase Budget,Google,GC_00000010,"Detected elevated spend overlap, weak ROAS, audience fatigue, or benchmark-backed optimization opportunity.",BM_00000068,1547.73,0.0958,0.8667,Medium,auto_execute_allowed,executed
