optimization_id,client_id,created_at,agent_name,action_type,target_platform,target_campaign_id,reason,expected_impact_pct,confidence_score,risk_level,status,approved_by,actual_impact_pct,rollback_flag,evidence_refs
OPT_0000000001,CL_0001,2026-06-03 09:32:39,Action Executor,Pause Low ROAS Adset,Meta,MC_00000004,"Pause Low ROAS Adset triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1444,0.8464,Medium,Pending Review,,,false,"[""sql:ad_performance_daily:2715"", ""rag:benchmark:90""]"
OPT_0000000002,CL_0001,2026-04-01 10:27:06,Risk Guardrail,Fix Tracking Gap,Google,GC_00000009,"Fix Tracking Gap triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0703,0.6230,High,Executed,auto_policy,-0.0008,false,"[""sql:ad_performance_daily:2463"", ""rag:benchmark:5""]"
OPT_0000000003,CL_0001,2026-05-18 07:14:40,Data Scout,Tighten Brand Search Exclusions,Google,GC_00000011,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1566,0.6437,Medium,Rolled Back,,0.2123,true,"[""sql:ad_performance_daily:9118"", ""rag:benchmark:140""]"
OPT_0000000004,CL_0001,2026-04-15 15:05:56,Recommendation Engine,Exclude Recent Buyers,Google,GC_00000008,"Exclude Recent Buyers triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0627,0.7239,Low,Pending Review,,,false,"[""sql:ad_performance_daily:223"", ""rag:benchmark:399""]"
OPT_0000000005,CL_0001,2026-04-07 18:12:20,Risk Guardrail,Suppress Email Converters,Meta,MC_00000002,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1393,0.5551,High,Executed,,0.2010,false,"[""sql:ad_performance_daily:4418"", ""rag:benchmark:251""]"
OPT_0000000006,CL_0001,2026-05-08 04:44:52,Action Executor,Suppress Email Converters,Google,GC_00000012,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0445,0.7197,Low,Generated,,,false,"[""sql:ad_performance_daily:1975"", ""rag:benchmark:73""]"
OPT_0000000007,CL_0001,2026-03-13 11:12:11,Action Executor,Create Lookalike from High LTV,Google,GC_00000011,"Create Lookalike from High LTV triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0353,0.6724,Low,Pending Review,,,false,"[""sql:ad_performance_daily:6513"", ""rag:benchmark:128""]"
OPT_0000000008,CL_0001,2026-04-11 19:41:03,Action Executor,Exclude Recent Buyers,Google,GC_00000007,"Exclude Recent Buyers triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0636,0.7940,Medium,Generated,,,false,"[""sql:ad_performance_daily:3540"", ""rag:benchmark:78""]"
OPT_0000000009,CL_0001,2026-05-31 18:43:22,Risk Guardrail,Suppress Email Converters,Google,GC_00000005,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0592,0.7555,Low,Rolled Back,,0.1353,true,"[""sql:ad_performance_daily:8160"", ""rag:benchmark:57""]"
OPT_0000000010,CL_0001,2026-05-19 12:57:01,Action Executor,Fix Tracking Gap,Google,GC_00000008,"Fix Tracking Gap triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1254,0.4151,Medium,Executed,auto_policy,0.1000,false,"[""sql:ad_performance_daily:1765"", ""rag:benchmark:180""]"
OPT_0000000011,CL_0001,2026-05-10 16:37:50,Recommendation Engine,Create Lookalike from High LTV,Google,GC_00000008,"Create Lookalike from High LTV triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0496,0.6806,Low,Pending Review,,,false,"[""sql:ad_performance_daily:510"", ""rag:benchmark:161""]"
OPT_0000000012,CL_0001,2026-04-05 07:01:38,Pattern Miner,Refresh Fatigued Audience,Google,GC_00000008,"Refresh Fatigued Audience triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1747,0.6607,Medium,Executed,client_admin,0.1287,false,"[""sql:ad_performance_daily:3012"", ""rag:benchmark:52""]"
OPT_0000000013,CL_0001,2026-05-26 10:34:56,Recommendation Engine,Create Lookalike from High LTV,Google,GC_00000010,"Create Lookalike from High LTV triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0417,0.7361,High,Pending Review,,,false,"[""sql:ad_performance_daily:4469"", ""rag:benchmark:361""]"
OPT_0000000014,CL_0001,2026-03-20 01:28:21,Action Executor,Tighten Brand Search Exclusions,Meta,MC_00000004,"Tighten Brand Search Exclusions triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1297,0.5991,High,Rejected,,,false,"[""sql:ad_performance_daily:6082"", ""rag:benchmark:340""]"
OPT_0000000015,CL_0001,2026-06-08 00:38:55,Recommendation Engine,Increase Budget,Google,GC_00000008,"Increase Budget triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1613,0.5280,High,Pending Review,,,false,"[""sql:ad_performance_daily:2549"", ""rag:benchmark:390""]"
OPT_0000000016,CL_0001,2026-05-16 08:54:25,Action Executor,Create Lookalike from High LTV,Google,GC_00000007,"Create Lookalike from High LTV triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0347,0.7502,Medium,Executed,human_ops,0.0180,false,"[""sql:ad_performance_daily:79"", ""rag:benchmark:312""]"
OPT_0000000017,CL_0001,2026-03-22 23:54:22,Data Scout,Split Retargeting Window,Google,GC_00000006,"Split Retargeting Window triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1016,0.5653,Low,Executed,,0.1142,false,"[""sql:ad_performance_daily:7256"", ""rag:benchmark:452""]"
OPT_0000000018,CL_0001,2026-04-26 15:41:43,Risk Guardrail,Split Retargeting Window,Meta,MC_00000002,"Split Retargeting Window triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1652,0.8227,Low,Executed,,0.1168,false,"[""sql:ad_performance_daily:8233"", ""rag:benchmark:38""]"
OPT_0000000019,CL_0001,2026-04-25 01:25:36,Pattern Miner,Pause Low ROAS Adset,Google,GC_00000005,"Pause Low ROAS Adset triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0804,0.6254,Medium,Executed,,0.0731,false,"[""sql:ad_performance_daily:4097"", ""rag:benchmark:494""]"
OPT_0000000020,CL_0001,2026-04-12 08:48:04,Recommendation Engine,Reduce Budget,Google,GC_00000006,"Reduce Budget triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0486,0.6553,Low,Approved,,,false,"[""sql:ad_performance_daily:7022"", ""rag:benchmark:407""]"
OPT_0000000021,CL_0001,2026-05-03 22:42:52,Recommendation Engine,Reduce Budget,Google,GC_00000005,"Reduce Budget triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0378,0.7174,Low,Generated,,,false,"[""sql:ad_performance_daily:1394"", ""rag:benchmark:404""]"
OPT_0000000022,CL_0001,2026-03-18 10:57:09,Data Scout,Suppress Email Converters,Google,GC_00000011,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.0398,0.5616,Medium,Rolled Back,,0.0155,true,"[""sql:ad_performance_daily:8848"", ""rag:benchmark:198""]"
OPT_0000000023,CL_0001,2026-06-04 19:37:14,Data Scout,Suppress Email Converters,Meta,MC_00000002,"Suppress Email Converters triggered by spend waste, fatigue, or cross-channel conversion overlap.",0.1000,0.8689,Low,Executed,human_ops,0.0888,false,"[""sql:ad_performance_daily:3934"", ""rag:benchmark:3""]"
