file_name,description,columns
clients.csv,"Client/brand account metadata, platform account IDs, spend band, margin profile.","client_id,brand_name,brand_category,monthly_ad_spend_band,avg_order_value,gross_margin_pct,shopify_store_domain,klaviyo_account_id,meta_account_id,google_ads_customer_id,snowflake_schema,created_at,data_consent_status"
products.csv,Shopify-like product catalog by client.,"product_id,client_id,sku,product_name,product_category,price,margin_pct,active_flag"
customers.csv,"Customer identity layer with fake hashed emails, consent flags, LTV, and segment hint.","customer_id,client_id,email_hash,first_seen_at,acquisition_source,country,state_region,lifetime_value,order_count,last_order_at,consent_email,consent_ads,segment_hint"
shopify_orders.csv,Shopify order-level transaction facts.,"order_id,client_id,customer_id,email_hash,order_ts,order_value,discount_used,discount_amount,payment_status,fulfillment_status,sales_channel"
shopify_order_items.csv,Shopify line-item details for each order.,"order_id,client_id,product_id,sku,quantity,item_price,item_margin_pct"
klaviyo_events.csv,"Klaviyo profile, email, SMS, cart, checkout, and conversion events.","event_id,client_id,profile_id,customer_id,email_hash,event_type,event_ts,flow_or_campaign_name,message_channel,revenue_attributed,properties_json"
ad_campaign_settings.csv,"Meta/Google campaign configuration, budgets, statuses, attribution windows.","campaign_id,client_id,platform,campaign_name,objective,status,daily_budget,bid_strategy,attribution_window,created_at"
ad_adsets.csv,"Ad-set level budget, audience type, targeting summary, optimization goal.","adset_id,campaign_id,client_id,platform,adset_name,audience_type,status,daily_budget,optimization_goal,targeting_summary"
ad_performance_daily.csv,"Daily ad metrics such as spend, impressions, clicks, purchases, revenue, ROAS, CPA, frequency.","performance_id,date,client_id,platform,campaign_id,adset_id,spend,impressions,clicks,add_to_cart,purchases,revenue,cpa,roas,frequency,ctr,cpc"
audience_segments.csv,WasteNot-built targeting/exclusion audiences and sync status.,"audience_id,client_id,audience_name,source_system,rule_expression,segment_type,estimated_size,destination_platforms,last_synced_at,sync_status"
audience_memberships.csv,Fake hashed customer membership in audiences.,"membership_id,audience_id,client_id,customer_id,email_hash,membership_reason,added_at"
optimization_history.csv,"Past agent recommendations, approvals, actions, outcomes, rollback flags.","optimization_id,client_id,created_at,agent_name,action_type,target_platform,target_campaign_id,reason,expected_impact_pct,confidence_score,risk_level,status,approved_by,actual_impact_pct,rollback_flag,evidence_refs"
cross_client_benchmarks.csv,Aggregated anonymized benchmark patterns across client cohorts.,"benchmark_id,anonymized_cohort_id,brand_category,monthly_ad_spend_band,strategy,primary_metric,avg_lift_pct,median_lift_pct,sample_size,confidence_score,privacy_level,generated_at"
recommendation_records.csv,"Generated optimization recommendations with confidence, risk, savings, and decision path.","recommendation_id,client_id,detected_at,recommendation_type,title,target_platform,target_campaign_id,evidence_summary,supporting_benchmark_id,expected_weekly_savings,expected_roas_lift_pct,confidence_score,risk_level,decision_required,status"
knowledge_graph_edges.csv,"Edges connecting clients, campaigns, audiences, optimizations, and benchmarks.","edge_id,source_node_type,source_node_id,relationship,target_node_type,target_node_id,weight,evidence_count,last_updated_at"
rag_documents.csv,Textual summaries intended for embeddings/RAG retrieval.,"doc_id,client_id,doc_type,source_table,source_record_id,chunk_id,embedding_group,text,updated_at"
schema_versions.csv,Schema drift monitoring events and responses.,"schema_event_id,source_system,table_name,schema_version,detected_at,drift_type,added_columns,removed_columns,action_taken,status"
