doc_id,client_id,doc_type,source_table,source_record_id,chunk_id,embedding_group,text,updated_at
DOC_0000000001,CL_0001,client_profile_summary,clients,CL_0001,0,client_context,Client CL_0001 is a Fitness eCommerce brand in spend band $10k-$25k with AOV 70.51 and gross margin 0.4100. Use this profile for similarity matching and recommendation risk calibration.,2026-05-05 17:45:32
DOC_0000000002,CL_0002,client_profile_summary,clients,CL_0002,0,client_context,Client CL_0002 is a Home Goods eCommerce brand in spend band $50k-$100k with AOV 63.83 and gross margin 0.6295. Use this profile for similarity matching and recommendation risk calibration.,2026-06-02 19:30:03
DOC_0000000003,CL_0003,client_profile_summary,clients,CL_0003,0,client_context,Client CL_0003 is a Apparel eCommerce brand in spend band $100k-$250k with AOV 84.34 and gross margin 0.4169. Use this profile for similarity matching and recommendation risk calibration.,2026-05-29 01:10:14
DOC_0000000004,CL_0004,client_profile_summary,clients,CL_0004,0,client_context,Client CL_0004 is a Pet Supplies eCommerce brand in spend band $50k-$100k with AOV 112.75 and gross margin 0.7684. Use this profile for similarity matching and recommendation risk calibration.,2026-05-04 08:46:56
DOC_0000000005,CL_0005,client_profile_summary,clients,CL_0005,0,client_context,Client CL_0005 is a Food & Beverage eCommerce brand in spend band $10k-$25k with AOV 147.09 and gross margin 0.7736. Use this profile for similarity matching and recommendation risk calibration.,2026-03-21 04:03:23
DOC_0000000006,CL_0006,client_profile_summary,clients,CL_0006,0,client_context,Client CL_0006 is a Pet Supplies eCommerce brand in spend band $25k-$50k with AOV 123.32 and gross margin 0.4236. Use this profile for similarity matching and recommendation risk calibration.,2026-03-12 00:08:41
DOC_0000000007,CL_0007,client_profile_summary,clients,CL_0007,0,client_context,Client CL_0007 is a Fitness eCommerce brand in spend band $50k-$100k with AOV 157.21 and gross margin 0.6837. Use this profile for similarity matching and recommendation risk calibration.,2026-04-15 04:33:40
DOC_0000000008,CL_0008,client_profile_summary,clients,CL_0008,0,client_context,Client CL_0008 is a Home Goods eCommerce brand in spend band $100k-$250k with AOV 65.83 and gross margin 0.5647. Use this profile for similarity matching and recommendation risk calibration.,2026-05-24 15:44:30
DOC_0000000009,CL_0009,client_profile_summary,clients,CL_0009,0,client_context,Client CL_0009 is a Jewelry eCommerce brand in spend band $25k-$50k with AOV 165.18 and gross margin 0.5217. Use this profile for similarity matching and recommendation risk calibration.,2026-05-20 04:23:53
DOC_0000000010,CL_0010,client_profile_summary,clients,CL_0010,0,client_context,Client CL_0010 is a Supplements eCommerce brand in spend band $100k-$250k with AOV 44.21 and gross margin 0.5141. Use this profile for similarity matching and recommendation risk calibration.,2026-04-22 20:30:18
DOC_0000000011,CL_0011,client_profile_summary,clients,CL_0011,0,client_context,Client CL_0011 is a Beauty eCommerce brand in spend band $50k-$100k with AOV 146.45 and gross margin 0.4963. Use this profile for similarity matching and recommendation risk calibration.,2026-04-07 03:19:30
DOC_0000000012,CL_0012,client_profile_summary,clients,CL_0012,0,client_context,Client CL_0012 is a Supplements eCommerce brand in spend band $50k-$100k with AOV 157.04 and gross margin 0.5683. Use this profile for similarity matching and recommendation risk calibration.,2026-04-12 23:44:39
DOC_0000000013,CL_0013,client_profile_summary,clients,CL_0013,0,client_context,Client CL_0013 is a Jewelry eCommerce brand in spend band $100k-$250k with AOV 105.85 and gross margin 0.3981. Use this profile for similarity matching and recommendation risk calibration.,2026-03-15 17:21:13
DOC_0000000014,CL_0014,client_profile_summary,clients,CL_0014,0,client_context,Client CL_0014 is a Baby eCommerce brand in spend band $100k-$250k with AOV 53.62 and gross margin 0.5544. Use this profile for similarity matching and recommendation risk calibration.,2026-05-06 21:37:59
DOC_0000000015,CL_0015,client_profile_summary,clients,CL_0015,0,client_context,Client CL_0015 is a Jewelry eCommerce brand in spend band $100k-$250k with AOV 138.38 and gross margin 0.5216. Use this profile for similarity matching and recommendation risk calibration.,2026-04-11 23:10:49
DOC_0000000016,CL_0016,client_profile_summary,clients,CL_0016,0,client_context,Client CL_0016 is a Home Goods eCommerce brand in spend band $10k-$25k with AOV 115.32 and gross margin 0.6030. Use this profile for similarity matching and recommendation risk calibration.,2026-05-21 13:16:43
DOC_0000000017,CL_0017,client_profile_summary,clients,CL_0017,0,client_context,Client CL_0017 is a Apparel eCommerce brand in spend band $100k-$250k with AOV 69.51 and gross margin 0.6377. Use this profile for similarity matching and recommendation risk calibration.,2026-04-29 04:01:36
DOC_0000000018,CL_0018,client_profile_summary,clients,CL_0018,0,client_context,Client CL_0018 is a Baby eCommerce brand in spend band $100k-$250k with AOV 49.05 and gross margin 0.5354. Use this profile for similarity matching and recommendation risk calibration.,2026-03-23 04:50:11
DOC_0000000019,CL_0019,client_profile_summary,clients,CL_0019,0,client_context,Client CL_0019 is a Fitness eCommerce brand in spend band $10k-$25k with AOV 151.09 and gross margin 0.3970. Use this profile for similarity matching and recommendation risk calibration.,2026-03-15 13:27:44
DOC_0000000020,CL_0020,client_profile_summary,clients,CL_0020,0,client_context,Client CL_0020 is a Beauty eCommerce brand in spend band $50k-$100k with AOV 42.34 and gross margin 0.7797. Use this profile for similarity matching and recommendation risk calibration.,2026-05-29 02:05:56
DOC_0000000021,CL_0021,client_profile_summary,clients,CL_0021,0,client_context,Client CL_0021 is a Outdoor eCommerce brand in spend band $100k-$250k with AOV 35.31 and gross margin 0.5179. Use this profile for similarity matching and recommendation risk calibration.,2026-05-12 16:33:39
DOC_0000000022,CL_0022,client_profile_summary,clients,CL_0022,0,client_context,Client CL_0022 is a Footwear eCommerce brand in spend band $25k-$50k with AOV 141.68 and gross margin 0.3762. Use this profile for similarity matching and recommendation risk calibration.,2026-03-12 18:47:08
DOC_0000000023,CL_0023,client_profile_summary,clients,CL_0023,0,client_context,Client CL_0023 is a Jewelry eCommerce brand in spend band $25k-$50k with AOV 158.44 and gross margin 0.3795. Use this profile for similarity matching and recommendation risk calibration.,2026-05-15 06:44:23
DOC_0000000024,CL_0024,client_profile_summary,clients,CL_0024,0,client_context,Client CL_0024 is a Apparel eCommerce brand in spend band $50k-$100k with AOV 116.96 and gross margin 0.4860. Use this profile for similarity matching and recommendation risk calibration.,2026-06-02 15:26:43
DOC_0000000025,CL_0025,client_profile_summary,clients,CL_0025,0,client_context,Client CL_0025 is a Fitness eCommerce brand in spend band $25k-$50k with AOV 36.35 and gross margin 0.6171. Use this profile for similarity matching and recommendation risk calibration.,2026-05-28 21:07:13
DOC_0000000026,CL_0026,client_profile_summary,clients,CL_0026,0,client_context,Client CL_0026 is a Supplements eCommerce brand in spend band $250k+ with AOV 88.58 and gross margin 0.4178. Use this profile for similarity matching and recommendation risk calibration.,2026-03-18 00:09:16
DOC_0000000027,CL_0027,client_profile_summary,clients,CL_0027,0,client_context,Client CL_0027 is a Beauty eCommerce brand in spend band $250k+ with AOV 51.74 and gross margin 0.3960. Use this profile for similarity matching and recommendation risk calibration.,2026-05-27 01:26:49
DOC_0000000028,CL_0028,client_profile_summary,clients,CL_0028,0,client_context,Client CL_0028 is a Home Goods eCommerce brand in spend band $50k-$100k with AOV 105.84 and gross margin 0.7393. Use this profile for similarity matching and recommendation risk calibration.,2026-03-14 16:06:47
DOC_0000000029,CL_0029,client_profile_summary,clients,CL_0029,0,client_context,Client CL_0029 is a Pet Supplies eCommerce brand in spend band $100k-$250k with AOV 58.43 and gross margin 0.5400. Use this profile for similarity matching and recommendation risk calibration.,2026-03-14 13:41:06
